player_name,edad,Total_puntos,Max_Assists,Block_Count
paolo banchero,19,1562,228,37
anthony edwards,19,1207,175,31
josh giddey,19,913,404,31
jabari smith jr.,19,729,74,65
lamelo ball,19,725,282,19
jalen green,19,662,115,8
shaedon sharpe,19,576,86,27
talen horton-tucker,19,562,168,17
alperen sengun,19,539,134,48
isaac okoro,19,535,104,22
theo maledon,19,498,192,8
patrick williams,19,427,78,32
jeremy sochan,19,419,113,20
cam thomas,19,368,53,6
isaiah stewart,19,351,48,73
malaki branham,19,329,101,5
josh christopher,19,300,96,10
isaiah jackson,19,285,10,53
james wiseman,19,282,20,30
brandon boston jr.,19,273,48,12
kenyon martin jr.,19,273,36,33
r.j. hampton,19,232,81,9
aleksej pokusevski,19,200,127,34
sekou doumbouya,19,200,34,9
dyson daniels,19,164,126,14
aj griffin,19,162,51,7
moses moody,19,133,26,12
keon johnson,19,128,76,13
blake wesley,19,109,81,5
nico mannion,19,81,73,0
dominick barlow,19,75,18,16
killian hayes,19,75,126,9
nikola jovic,19,73,18,5
caleb houstan,19,60,24,6
daishen nix,19,43,28,0
joshua primo,19,40,18,2
zeke nnaji,19,38,10,5
jt thor,19,35,19,10
patrick baldwin jr.,19,35,15,5
jalen johnson,19,29,6,5
jahmi'us ramsey,19,25,7,1
josh minott,19,23,4,6
vernon carey jr.,19,17,1,4
usman garuba,19,13,10,7
j.d. davison,19,13,15,3
kendall brown,19,13,7,2
isaiah todd,19,5,2,1
jaden springer,19,0,5,2
